"id","pwsid","name"
4534,"NH0202010","ABENAKI WATER /LAKELAND"
4535,"NH0262020","ABENAKI WATER/WHITE ROCK WATER"
4540,"NH0061010","ALTON WATER WORKS"
4541,"NH0081010","ANDOVER VILLAGE DIST"
4542,"NH0091010","ANTRIM SEWER AND WATER DEPT"
4543,"NH1051010","AQUARION WATER/NH"
4544,"NH0101010","ASHLAND WATER DEPT"
4545,"NH0171010","BATH VILLAGE WATER WORKS"
4546,"NH0201010","BELMONT WATER DEPT"
4547,"NH0201020","BELMONT WATER DEPT/NORTH"
4548,"NH0211010","BENNINGTON WATER DEPT"
4549,"NH0231010","BERLIN WATER WORKS"
4550,"NH0241010","BETHLEHEM VILLAGE DIST"
4551,"NH0269060","BAKER FREE LIBRARY"
4552,"NH0269020","BOW COMMUNITY BUILDING"
4553,"NH0269010","BOW MUNICIPAL BUILDING"
4554,"NH0269080","OLD TOWN HALL"
4555,"NH0269070","POLICE/PUBLIC WORKS DEPT"
4556,"NH0261010","BOW MUNICIPAL WATER SYSTEM"
4557,"NH2212010","BOW LAKE ESTATES"
4558,"NH0301010","BRISTOL WATER WORKS"
4559,"NH0351010","CANAAN WATER DEPT"
4560,"NH0381010","CARROLL WATER WORKS"
4561,"NH1844010","CARROLL COUNTY COMPLEX"
4562,"NH1181010","CENTRAL HOOKSETT WATER PCT"
4563,"NH0411010","CHARLESTOWN WATER WORKS"
4564,"NH0461010","CLAREMONT WATER DEPT"
4565,"NH1121010","COGSWELL SPRINGS WATER WORKS"
4566,"NH0481010","COLEBROOK WATER WORKS"
4567,"NH0501010","CONCORD WATER DEPT"
4568,"NH1191010","CONTOOCOOK VILLAGE PCT"
4569,"NH0511010","CONWAY VILLAGE FIRE DIST"
4570,"NH1672020","COPPLE CROWN VILLAGE DISTRICT"
4571,"NH0611010","DERRY WATER DEPT"
4572,"NH0651010","DOVER WATER DEPT"
4573,"NH1141020","EMERALD LAKE"
4574,"NH0761010","EPPING WATER AND SEWER DEPT"
4575,"NH0771010","EPSOM VILLAGE DIST"
4576,"NH0801010","EXETER WATER DEPT"
4577,"NH0811010","FARMINGTON WATER DEPT"
4578,"NH0512060","FOREST EDGE"
4579,"NH0841010","FRANCONIA VILLAGE WATER"
4580,"NH0851010","FRANKLIN WATER WORKS"
4581,"NH0861010","FREEDOM VILLAGE WATER PRECINCT"
4582,"NH0519040","CONWAY SEVENTH DAY ADV CHURCH"
4583,"NH0911010","GOFFSTOWN VILLAGE PCT"
4585,"NH0921010","GORHAM WATER AND SEWER DEPT"
4586,"NH0911020","GRASMERE WATER PCT/MAIN"
4587,"NH0991010","GREENVILLE WATER DEPT"
4588,"NH1781010","GROVETON WATER SYS"
4589,"NH1031010","HAMPSTEAD AREA WATER"
4590,"NH1071010","HANOVER WATER DEPT"
4591,"NH1131010","HILL WATER WORKS"
4592,"NH1141010","HILLSBOROUGH WATER WORKS"
4593,"NH1151020","HINSDALE WATER DEPT/DOWNTOWN"
4594,"NH1181020","HOOKSETT VILLAGE WATER PCT"
4595,"NH1191020","HOPKINTON VILLAGE PCT"
4596,"NH1201010","HUDSON WATER DEPT"
4597,"NH1221010","JAFFREY WATER WORKS"
4598,"NH1241010","KEENE WATER DEPT"
4599,"NH1281010","LACONIA WATER WORKS"
4600,"NH0342050","DEER RUN"
4601,"NH0512050","ECHO LAKE WOODS"
4602,"NH0512130","WOODLAND GROVE"
4603,"NH0882050","BRAKE HILL ACRES"
4604,"NH1282020","WENTWORTH COVE ESTATES"
